Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao,Faixa_Etaria,Sucesso_Comercial,Percentual_NA,Percentual_EU,Percentual_JP,Percentual_Outras,Ranking_Genero
Wii Sports,Wii,2006,Esporte,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51,8.0,322,Nintendo,Livre,Todos,Alto,50.11510965709439,35.09027020477402,4.568035865745789,0.10238701078395734,1.0
Super Mario Bros.,NES,1985,Plataforma,Nintendo,29.08,3.58,6.81,0.77,40.24,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,72.26640159045725,8.896620278330019,16.9234592445328,0.019135188866799203,1.0
Mario Kart Wii,Wii,2008,Corrida,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73,8.3,709,Nintendo,Livre,Todos,Médio,44.144144144144136,35.923423423423415,10.670045045045045,0.09262387387387387,1.0
Wii Sports Resort,Wii,2009,Esporte,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73,8.0,192,Nintendo,Livre,Todos,Médio,47.63503204150137,33.353677143729016,10.009154714678058,0.09002136100091547,2.0
Pokemon Red/Pokemon Blue,GB,1996,Rpg,Nintendo,11.27,8.89,10.22,1.0,31.37,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,35.92604399107427,28.339177558176605,32.578897035384124,0.031877590054191905,1.0
Tetris,GB,1989,Quebra_cabeca,Nintendo,23.2,2.26,4.22,0.58,30.26,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,76.66886979510905,7.468605419695967,13.945803040317248,0.019167217448777262,1.0
New Super Mario Bros.,DS,2006,Plataforma,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65,8.5,431,Nintendo,Livre,Todos,Médio,37.85234899328859,30.67114093959732,21.812080536912752,0.09664429530201342,2.0
Wii Play,Wii,2006,Diversos,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41,6.6,129,Nintendo,Livre,Todos,Médio,48.27109266943292,31.742738589211616,10.131396957123098,0.09820193637621022,1.0
New Super Mario Bros. Wii,Wii,2009,Plataforma,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80,8.4,594,Nintendo,Livre,Todos,Médio,50.988700564971744,24.505649717514125,16.596045197740114,0.07909604519774012,3.0
Duck Hunt,NES,1984,Tiro,Nintendo,26.93,0.63,0.28,0.47,28.31,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,95.12539738608265,2.2253620628753095,0.9890498057223597,0.01660190745319675,1.0
Nintendogs,DS,2005,Simulação,Nintendo,9.05,10.95,1.93,2.74,24.67,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,36.684231860559386,44.38589379813538,7.823267126064044,0.11106607215241183,1.0
Mario Kart DS,DS,2005,Corrida,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64,8.6,464,Nintendo,Livre,Todos,Médio,41.83541576906506,32.184403274450666,17.794054286945283,0.08186126669538991,2.0
Pokemon Gold/Pokemon Silver,GB,1999,Rpg,Nintendo,9.0,6.18,7.2,0.71,23.1,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,38.96103896103896,26.75324675324675,31.16883116883117,0.03073593073593073,2.0
Wii Fit,Wii,2007,Esporte,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63,7.7,146,Nintendo,Livre,Todos,Médio,39.29515418502203,35.37444933920705,15.859030837004406,0.0947136563876652,3.0
Kinect Adventures!,X360,2010,Diversos,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45,6.3,106,Good Science Studio,Livre,Todos,Médio,68.7757909215956,22.420907840440165,1.1004126547455295,0.07748739110499771,2.0
Wii Fit Plus,Wii,2009,Esporte,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33,7.4,52,Nintendo,Livre,Todos,Médio,41.34924277191372,38.96282698485544,11.61083065626434,0.08122992198256081,4.0
Grand Theft Auto V,PS3,2013,Acao,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50,8.2,3994,Rockstar North,+17,Restrito,Médio,33.365019011406844,43.20342205323194,4.657794676806084,0.188212927756654,1.0
Grand Theft Auto: San Andreas,PS2,2004,Acao,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80,9.0,1588,Rockstar North,+17,Restrito,Médio,45.31475252282557,1.9221528111484865,1.9702066314271984,0.5079288803459876,2.0
Super Mario World,SNES,1990,Plataforma,Nintendo,12.78,3.75,3.54,0.55,20.61,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Médio,62.00873362445415,18.19505094614265,17.17612809315866,0.02668607472100922,4.0
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Diversos,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58,7.9,50,Nintendo,Livre,Todos,Médio,23.52357320099256,45.6575682382134,20.645161290322584,0.10124069478908189,3.0
Pokemon Diamond/Pokemon Pearl,DS,2006,Rpg,Nintendo,6.38,4.46,6.04,1.36,18.25,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,34.95890410958904,24.438356164383563,33.09589041095891,0.07452054794520549,3.0
Super Mario Land,GB,1989,Plataforma,Nintendo,10.83,2.71,4.18,0.42,18.14,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,59.702315325248065,14.939360529217199,23.042998897464166,0.02315325248070562,5.0
Super Mario Bros. 3,NES,1988,Plataforma,Nintendo,9.54,3.44,3.84,0.46,17.28,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,55.20833333333333,19.90740740740741,22.22222222222222,0.02662037037037037,6.0
Grand Theft Auto V,X360,2013,Acao,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58,8.1,3711,Rockstar North,+17,Restrito,Baixo,59.37307928703135,31.591886908420403,0.36877688998156116,0.08666256914566686,3.0
Grand Theft Auto: Vice City,PS2,2002,Acao,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62,8.7,730,Rockstar North,+17,Restrito,Baixo,52.07430340557276,33.99380804953561,2.910216718266254,0.11021671826625389,4.0
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Rpg,Nintendo,6.06,3.9,5.38,0.5,15.85,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,38.23343848580441,24.605678233438486,33.943217665615144,0.031545741324921134,4.0
Brain Age 2: More Training in Minutes a Day,DS,2005,Quebra_cabeca,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37,7.1,19,Nintendo,Livre,Todos,Baixo,22.432962720732508,34.99018966644866,34.79398299542184,0.07717462393721386,2.0
Pokemon Black/Pokemon White,DS,2010,Rpg,Nintendo,5.51,3.17,5.65,0.8,15.14,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,36.39365918097754,20.93791281373844,37.31836195508586,0.052840158520475564,5.0
Gran Turismo 3: A-Spec,PS2,2001,Corrida,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54,8.4,314,Polyphony Digital,Livre,Todos,Baixo,45.727636849132175,33.97863818424566,12.483311081441922,0.0774365821094793,3.0
Call of Duty: Modern Warfare 3,X360,2011,Tiro,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81,3.4,8713,"Infinity Ward, Sledgehammer Games",+17,Restrito,Baixo,61.3713509843856,28.78479293957909,0.8825526137135099,0.08961303462321793,2.0
Pokémon Yellow: Special Pikachu Edition,GB,1998,Rpg,Nintendo,5.89,5.04,3.12,0.59,14.64,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,40.23224043715847,34.42622950819672,21.311475409836063,0.04030054644808743,6.0
Call of Duty: Black Ops 3,PS4,2015,Tiro,Activision,6.03,5.86,0.36,2.38,14.63,68.99436302142053,0,7.126329894144447,0,Nao_Inserido,Nao_Inserido,Restrito,Baixo,41.21667805878332,40.054682159945315,2.4606971975393024,0.16267942583732056,3.0
