Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao
Wii Sports,Wii,2006,Esporte,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51,8.0,322,Nintendo,Livre
Super Mario Bros.,NES,1985,Plataforma,Nintendo,29.08,3.58,6.81,0.77,40.24,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Mario Kart Wii,Wii,2008,Corrida,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73,8.3,709,Nintendo,Livre
Wii Sports Resort,Wii,2009,Esporte,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73,8.0,192,Nintendo,Livre
Pokemon Red/Pokemon Blue,GB,1996,Rpg,Nintendo,11.27,8.89,10.22,1.0,31.37,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Tetris,GB,1989,Quebra_cabeca,Nintendo,23.2,2.26,4.22,0.58,30.26,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
New Super Mario Bros.,DS,2006,Plataforma,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65,8.5,431,Nintendo,Livre
Wii Play,Wii,2006,Diversos,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41,6.6,129,Nintendo,Livre
New Super Mario Bros. Wii,Wii,2009,Plataforma,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80,8.4,594,Nintendo,Livre
Duck Hunt,NES,1984,Tiro,Nintendo,26.93,0.63,0.28,0.47,28.31,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Nintendogs,DS,2005,Simulação,Nintendo,9.05,10.95,1.93,2.74,24.67,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Mario Kart DS,DS,2005,Corrida,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64,8.6,464,Nintendo,Livre
Pokemon Gold/Pokemon Silver,GB,1999,Rpg,Nintendo,9.0,6.18,7.2,0.71,23.1,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Wii Fit,Wii,2007,Esporte,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63,7.7,146,Nintendo,Livre
Kinect Adventures!,X360,2010,Diversos,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45,6.3,106,Good Science Studio,Livre
Wii Fit Plus,Wii,2009,Esporte,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33,7.4,52,Nintendo,Livre
Grand Theft Auto V,PS3,2013,Acao,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50,8.2,3994,Rockstar North,+17
Grand Theft Auto: San Andreas,PS2,2004,Acao,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80,9.0,1588,Rockstar North,+17
Super Mario World,SNES,1990,Plataforma,Nintendo,12.78,3.75,3.54,0.55,20.61,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Diversos,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58,7.9,50,Nintendo,Livre
Pokemon Diamond/Pokemon Pearl,DS,2006,Rpg,Nintendo,6.38,4.46,6.04,1.36,18.25,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Mario Land,GB,1989,Plataforma,Nintendo,10.83,2.71,4.18,0.42,18.14,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Super Mario Bros. 3,NES,1988,Plataforma,Nintendo,9.54,3.44,3.84,0.46,17.28,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Grand Theft Auto V,X360,2013,Acao,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58,8.1,3711,Rockstar North,+17
Grand Theft Auto: Vice City,PS2,2002,Acao,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62,8.7,730,Rockstar North,+17
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Rpg,Nintendo,6.06,3.9,5.38,0.5,15.85,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Brain Age 2: More Training in Minutes a Day,DS,2005,Quebra_cabeca,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37,7.1,19,Nintendo,Livre
Pokemon Black/Pokemon White,DS,2010,Rpg,Nintendo,5.51,3.17,5.65,0.8,15.14,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
